Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
MARA180119C5(3480059FZ),"CALL (MARA) MARATHON PATENT JAN 19 18 $5 (100 SHS)",10.00000,12/01/2017,01/19/2018,"$0.00 ","$611.87 ","($611.87)",-
MARA180119C5(3480059FZ),"CALL (MARA) MARATHON PATENT JAN 19 18 $5 (100 SHS)",10.00000,12/29/2017,01/19/2018,"$0.00 ","$168.42 ","($168.42)",-
MARA180119C5(3480059FZ),"CALL (MARA) MARATHON PATENT JAN 19 18 $5 (100 SHS)",10.00000,12/29/2017,01/19/2018,"$0.00 ","$178.92 ","($178.92)",-
MARA180119C5(3480059FZ),"CALL (MARA) MARATHON PATENT JAN 19 18 $5 (100 SHS)",60.00000,01/03/2018,01/19/2018,"$0.00 ","$1546.44 ","($1546.44)",-
MARA180119P5(3480059IC),"PUT (MARA) MARATHON PATENT JAN 19 18 $5 (100 SHS)",10.00000,12/26/2017,01/04/2018,"$1208.10 ","$1339.39 ","($131.29)",-
MARA180119P5(3480059IC),"PUT (MARA) MARATHON PATENT JAN 19 18 $5 (100 SHS)",10.00000,12/29/2017,01/04/2018,"$1338.09 ","$1339.39 ","($1.30)",-
MARA180216P2.5(3513859KK),"PUT (MARA) MARATHON PATENT FEB 16 18 $2.5 (100 SHS)",1.00000,02/12/2018,02/12/2018,"$15.00 ","$30.09 ","($15.09)",-
MARA180216P2.5(3513859KK),"PUT (MARA) MARATHON PATENT FEB 16 18 $2.5 (100 SHS)",99.00000,02/12/2018,02/12/2018,"$1911.21 ","$2978.64 ","($1067.43)",-
MARA180316C2.5(3456949XR),"CALL (MARA) MARATHON PATENT MAR 16 18 $2.5 (100 SHS)",10.00000,03/05/2018,03/08/2018,"$94.62 ","$87.55 ","$7.07 ",-
MARA180316C2.5(3456949XR),"CALL (MARA) MARATHON PATENT MAR 16 18 $2.5 (100 SHS)",30.00000,03/05/2018,03/08/2018,"$283.86 ","$61.13 ","$222.73 ",-
MARA180316C2.5(3456949XR),"CALL (MARA) MARATHON PATENT MAR 16 18 $2.5 (100 SHS)",10.00000,02/26/2018,02/26/2018,"$238.16 ","$305.33 ","($67.17)",-
,,,,Wash Sale,"$0.00 ","($67.17)","$67.17 ",-
